date,rank,keyword,frequency
20260225,1,건강,69
20260225,2,백신,50
20260225,3,치료,48
20260225,4,병원,47
20260225,5,의료,42
20260225,6,수술,40
20260225,7,질병,36
20260225,8,혈압,36
20260225,9,당뇨,36
20260225,10,개발,30
20260226,1,의료,92
20260226,2,건강,85
20260226,3,치료,80
20260226,4,백신,70
20260226,5,수술,65
20260226,6,당뇨,65
20260226,7,병원,61
20260226,8,질병,57
20260226,9,혈압,48
20260226,10,관리,47
20260226,1,건강,90
20260226,2,의료,71
20260226,3,백신,65
20260226,4,치료,64
20260226,5,병원,62
20260226,6,질병,60
20260226,7,당뇨,58
20260226,8,혈압,56
20260226,9,수술,51
20260226,10,지원,43
